id,age_asvab,hgc_mom,hgc_dad,asvab_general_sci,asvab_arith_reasoning,asvab_word_know,asvab_para_comp,asvab_nmbr_oper,asvab_coding_speed,asvab_autoshop_info,asvab_math_know,asvab_mech_comp,asvab_electr_info,abl_social
145,18,12,12,53.517006,46.687374,55.261105,52.165054,50.670517,43.582207,44.905636,48.424412,37.52766,50.182442,-.92843753
146,16,12,12,63.455357,66.156311,58.406136,54.356766,46.308014,46.8382,54.688766,62.049904,58.276081,64.757957,-.63543743
147,19,10,12,42.458496,37.843353,43.976532,45.286331,57.241314,59.803143,45.889996,41.578781,40.399925,36.9828,-.81304014
148,17,12,12,62,58,55,56,48,50,60,51,65,56,.19897199
149,16,11,12,53.455357,46.156311,45.406136,48.356766,50.308014,53.8382,38.688766,44.049904,45.276081,43.757961,-.10161562
152,19,12,12,52.458496,64.843353,56.976532,57.286331,55.241314,56.803143,45.889996,61.578781,50.399925,50.9828,.81029409
155,17,12,12,56,40,51,47,52,51,57,48,52,58,-.15033635
157,18,12,16,39.517006,45.687374,53.261105,37.165054,60.670517,57.582207,40.905636,56.424412,37.52766,41.182442,.0042865872
161,19,,7,38.458496,47.843353,36.976532,57.286331,41.241314,45.803143,32.889996,41.578781,36.399925,39.9828,-.57092625
162,19,16,17,64.458496,63.843353,58.976532,57.286331,51.241314,56.803143,52.889996,64.578781,65.399925,62.9828,-.12242995
163,18,16,18,65.517006,54.687374,58.261105,58.165054,41.670517,54.582207,55.905636,57.424412,56.52766,59.182442,.86554778
166,18,10,12,59.517006,53.687374,51.261105,49.165054,59.670517,53.582207,56.905636,53.424412,60.52766,67.182442,-.60099816
168,19,6,10,46.458496,33.843353,40.976532,48.286331,35.241314,38.803143,45.889996,39.578781,44.399925,39.9828,-.29308087
169,17,6,10,34,38,38,44,46,47,31,43,48,30,-.40631276
171,18,13,12,63.517006,61.687374,56.261105,49.165054,60.670517,32.582207,58.905636,62.424412,58.52766,59.182442,.82981628
185,16,12,12,53.455357,47.156311,53.406136,57.356766,38.308014,41.8382,58.688766,48.049904,66.276077,52.757961,-.17307861
187,16,12,12,53.455357,47.156311,49.406136,54.356766,48.308014,39.8382,50.688766,49.049904,49.276081,57.757961,-.22267257
191,17,16,17,60,51,56,62,61,55,42,60,46,49,.52641141
192,17,12,12,54,53,56,53,56,50,49,63,53,51,.62559932
194,16,12,12,55.455357,46.156311,55.406136,54.356766,56.308014,64.838196,50.688766,55.049904,54.276081,54.757961,.31114921
196,16,20,16,65.455353,65.156311,57.406136,63.356766,62.308014,61.8382,61.688766,66.049904,68.276077,66.757957,.77350801
197,18,11,12,43.517006,39.687374,36.261105,34.165054,51.670517,50.582207,38.905636,42.424412,36.52766,41.182442,-.10290787
198,17,16,17,58,57,51,44,62,57,48,62,50,51,-.043141901
206,18,11,12,37.517006,39.687374,37.261105,40.165054,54.670517,54.582207,35.905636,45.424412,34.52766,48.182442,-.52953517
211,16,12,12,49.455357,58.156311,47.406136,57.356766,59.308014,58.8382,41.688766,63.049904,45.276081,57.757961,.22582375
214,16,12,16,53.455357,60.156311,48.406136,51.356766,51.308014,45.8382,59.688766,54.049904,54.276081,64.757957,-.50051796
220,19,12,12,60.458496,60.843353,53.976532,57.286331,60.241314,69.803146,52.889996,66.578781,48.399925,60.9828,.034358457
230,16,12,8,49.455357,39.156311,49.406136,51.356766,50.308014,47.8382,50.688766,44.049904,43.276081,52.757961,.14049827
233,16,10,15,43.455357,44.156311,40.406136,36.356766,47.308014,48.8382,56.688766,46.049904,56.276081,50.757961,-.87755126
235,17,12,12,56,55,50,47,54,53,64,63,63,56,.49067983
239,19,10,11,38.458496,32.843353,31.97653,27.286331,38.241314,42.803143,32.889996,46.578781,36.399925,34.9828,-.72771466
240,18,8,8,47.517006,49.687374,53.261105,43.165054,49.670517,43.582207,49.905636,47.424412,43.52766,45.182442,-.081038892
241,16,11,11,39.455357,39.156311,42.406136,39.356766,32.308014,30.8382,52.688766,43.049904,45.276081,47.757961,-.016290165
245,18,14,12,59.517006,64.687378,54.261105,55.165054,60.670517,60.582207,49.905636,64.424408,58.52766,52.182442,-1.0137631
246,16,12,12,61.455357,66.156311,51.406136,54.356766,48.308014,50.8382,58.688766,68.049904,66.276077,54.757961,-.29413554
249,17,12,12,32,58,38,47,61,49,39,54,40,34,-.18606788
253,16,8,12,43.455357,47.156311,47.406136,27.356766,35.308014,41.8382,40.688766,44.049904,54.276081,43.757961,-.25840405
254,19,11,8,54.458496,64.843353,56.976532,57.286331,60.241314,62.803143,50.889996,63.578781,53.399925,50.9828,.19114693
255,18,10,8,45.517006,58.687374,40.261105,46.165054,60.670517,60.582207,40.905636,51.424412,47.52766,38.182442,.018149078
256,19,11,9,48.458496,47.843353,48.976532,57.286331,48.241314,57.803143,37.889996,46.578781,44.399925,43.9828,-.65625173
257,16,11,9,47.455357,48.156311,48.406136,54.356766,62.308014,50.8382,43.688766,48.049904,43.276081,45.757961,-.3437295
260,19,12,18,64.458496,59.843353,57.976532,51.286331,60.241314,53.803143,66.889992,64.578781,65.399925,65.982803,.19114693
261,17,12,8,60,58,55,50,62,55,60,58,57,65,1.2666155
263,18,12,12,47.517006,48.687374,45.261105,52.165054,36.670517,49.582207,56.905636,48.424412,58.52766,52.182442,1.6414834
264,19,10,10,60.458496,56.843353,57.976532,60.286331,60.241314,68.803146,43.889996,60.578781,50.399925,48.9828,1.1873275
265,18,12,,59.517006,65.687378,55.261105,61.165054,56.670517,57.582207,46.905636,67.424408,49.52766,57.182442,.7444908
270,18,12,16,47.517006,61.687374,49.261105,55.165054,47.670517,45.582207,64.905632,59.424412,58.52766,59.182442,.34558845
271,16,12,16,45.455357,48.156311,47.406136,51.356766,54.308014,51.8382,52.688766,51.049904,43.276081,43.757961,.55326307
275,17,14,18,56,54,55,56,44,57,51,52,44,49,1.6793804
276,19,12,13,38.458496,48.843353,47.976532,54.286331,45.241314,41.803143,39.889996,42.578781,44.399925,41.9828,-.4498693
279,18,12,14,53.517006,44.687374,59.261105,49.165054,44.670517,43.582207,62.905636,45.424412,52.52766,57.182442,.260263
281,19,13,13,58.458496,63.843353,51.976532,48.286331,60.241314,48.803143,48.889996,63.578781,51.399925,55.9828,-.12242995
282,17,13,13,54,59,51,59,62,54,48,66,48,44,-1.1822485
285,19,8,12,42.458496,33.843353,30.97653,42.286331,58.241314,47.803143,28.889996,42.578781,35.399925,39.9828,-.62052023
288,19,10,9,50.458496,37.843353,35.976532,42.286331,47.241314,47.803143,41.889996,35.578781,44.399925,39.9828,-.2434869
289,18,11,8,37.517006,33.687374,45.261105,52.165054,47.670517,56.582207,42.905636,39.424412,45.52766,38.182442,.4527829
294,19,12,18,52.458496,40.843353,56.976532,57.286331,41.241314,46.803143,46.889996,46.578781,51.399925,46.9828,.73883122
295,17,12,12,52,45,47,35,39,44,48,40,52,53,-.23566183
298,16,6,12,35.455357,43.156311,34.406136,27.356766,48.308014,43.8382,34.688766,40.049904,39.276081,31.757961,-.77836341
300,19,2,6,32.458496,32.843353,23.97653,24.286331,27.241314,39.803143,21.889996,36.578781,40.399925,39.9828,-1.225805
301,19,5,,42.458496,37.843353,41.976532,45.286331,44.241314,45.803143,37.889996,38.578781,48.399925,46.9828,-.81304014
303,17,4,,28,40,31,29,30,34,39,33,38,49,-.80521512
304,16,5,,41.455357,37.156311,27.406136,30.356766,29.308014,34.8382,32.688766,38.049904,38.276081,35.757961,-.32986704
305,18,3,,39.517006,49.687374,42.261105,43.165054,54.670517,54.582207,33.905636,45.424412,43.52766,36.182442,-.18823338
308,19,12,12,40.458496,38.843353,35.976532,24.286331,44.241314,39.803143,41.889996,39.578781,36.399925,41.9828,-2.0156031
312,18,,10,47.517006,49.687374,46.261105,52.165054,48.670517,41.582207,37.905636,54.424412,43.52766,48.182442,-.11677038
313,17,11,10,62,42,50,41,49,48,55,41,44,51,1.3519411
316,16,12,12,39.455357,40.156311,35.406136,48.356766,47.308014,44.8382,52.688766,37.049904,30.276079,47.757961,-.7922259
318,17,12,12,36,42,35,38,39,48,49,38,42,49,-.19993034
324,18,12,12,29.517008,39.687374,29.261103,28.165054,40.670517,38.582207,42.905636,39.424412,43.52766,43.182442,-.96416897
325,16,12,12,51.455357,59.156311,48.406136,60.356766,54.308014,58.8382,41.688766,55.049904,41.276081,43.757961,-.59970593
331,19,5,,30.458494,37.843353,21.97653,27.286331,45.241314,42.803143,34.889996,33.578781,29.399923,43.9828,-.4498693
342,17,12,16,68,65,60,59,54,57,60,66,68,70,-.029279411
345,17,13,14,46,50,48,50,50,50,42,57,42,44,1.109827
346,18,12,8,47.517006,45.687374,47.261105,52.165054,60.670517,48.582207,44.905636,43.424412,51.52766,50.182442,.161075
347,18,12,12,45.517006,53.687374,54.261105,49.165054,60.670517,57.582207,44.905636,53.424412,49.52766,33.182442,.53810835
350,18,12,12,51.517006,45.687374,47.261105,52.165054,47.670517,45.582207,47.905636,53.424412,47.52766,50.182442,-.73591757
352,19,12,16,42.458496,55.843353,44.976532,48.286331,60.241314,63.803143,50.889996,44.578781,46.399925,43.9828,1.1873275
355,16,12,12,53.455357,48.156311,52.406136,48.356766,51.308014,50.8382,54.688766,49.049904,64.276077,54.757961,.27541772
356,18,12,12,55.517006,48.687374,54.261105,49.165054,52.670517,50.582207,58.905636,39.424412,51.52766,48.182442,1.2783126
358,19,12,14,48.458496,43.843353,45.976532,48.286331,46.241314,41.803143,43.889996,39.578781,48.399925,39.9828,-.77730864
359,17,14,13,38,38,50,56,58,55,46,41,40,37,-.54923874
360,19,16,16,60.458496,60.843353,52.976532,57.286331,53.241314,57.803143,55.889996,66.578781,63.399925,48.9828,-.086698458
363,19,12,12,44.458496,40.843353,48.976532,45.286331,45.241314,36.803143,37.889996,38.578781,38.399925,46.9828,-1.467919
372,19,12,18,56.458496,55.843353,58.976532,57.286331,49.241314,45.803143,52.889996,64.578781,63.399925,55.9828,-.53519475
374,19,4,4,32.458496,36.843353,34.976532,42.286331,48.241314,53.803143,27.889996,41.578781,35.399925,36.9828,-.91222811
384,18,5,12,33.517006,42.687374,41.261105,49.165054,47.670517,50.582207,40.905636,45.424412,41.52766,43.182442,-.68632358
385,19,10,8,46.458496,40.843353,49.976532,45.286331,39.241314,46.803143,37.889996,42.578781,36.399925,34.9828,.27647236
386,18,10,7,43.517006,41.687374,58.261105,55.165054,55.670517,52.582207,38.905636,47.424412,43.52766,33.182442,-1.5118533
388,18,12,14,57.517006,52.687374,60.261105,55.165054,52.670517,48.582207,46.905636,51.424412,49.52766,57.182442,-.32315278
390,19,11,12,36.458496,38.843353,31.97653,24.286331,51.241314,40.803143,37.889996,35.578781,35.399925,27.9828,-1.4321874
393,18,11,12,57.517006,61.687374,55.261105,43.165054,49.670517,48.582207,65.905632,65.424408,64.527664,59.182442,-.28742132
400,19,12,10,64.458496,63.843353,58.976532,60.286331,59.241314,65.803146,54.889996,66.578781,55.399925,60.9828,.51858634
401,19,11,11,50.458496,40.843353,40.976532,48.286331,44.241314,43.803143,39.889996,38.578781,42.399925,46.9828,.56818026
406,17,,,50,46,51,44,46,44,44,41,40,53,.0064520612
407,17,16,,40,45,51,53,61,62,40,44,50,46,-.44204423
408,19,12,12,62.458496,64.843353,54.976532,60.286331,51.241314,49.803143,64.889992,47.578781,68.399925,65.982803,.24074088
411,18,11,12,47.517006,38.687374,41.261105,37.165054,28.670517,39.582207,56.905636,39.424412,49.52766,50.182442,-.44420972
412,16,11,12,55.455357,58.156311,56.406136,51.356766,50.308014,45.8382,52.688766,46.049904,56.276081,54.757961,-.46478644
414,16,17,16,59.455357,51.156311,58.406136,51.356766,60.308014,59.8382,50.688766,58.049904,53.276081,50.757961,-.58584344
415,18,8,,45.517006,35.687374,41.261105,31.165054,40.670517,42.582207,51.905636,37.424412,43.52766,50.182442,-.94230002
418,16,13,12,45.455357,54.156311,51.406136,54.356766,61.308014,54.8382,38.688766,44.049904,41.276081,43.757961,.34688067
419,17,18,,54,61,48,41,62,41,51,52,46,44,-.51350719
420,16,18,,63.455357,55.156311,55.406136,45.356766,49.308014,49.8382,38.688766,55.049904,53.276081,54.757961,.033303782
434,17,8,8,54,47,54,59,51,54,60,46,44,60,-1.1822485
435,19,7,12,44.458496,37.843353,41.976532,39.286331,33.241314,41.803143,63.889996,44.578781,46.399925,46.9828,.39752936
436,17,12,12,56,54,51,53,62,60,42,55,52,46,.78238773
438,18,10,12,47.517006,63.687374,53.261105,52.165054,47.670517,52.582207,44.905636,62.424412,52.52766,57.182442,.33172593
439,19,12,8,54.458496,56.843353,53.976532,57.286331,58.241314,63.803143,48.889996,58.578781,44.399925,41.9828,.11968397
440,19,12,12,50.458496,55.843353,45.976532,39.286331,58.241314,54.803143,45.889996,56.578781,46.399925,55.9828,.15541543
441,17,12,9,48,40,28,35,24,28,48,35,42,42,-.56310117
443,19,16,14,66.458496,64.843353,57.976532,57.286331,49.241314,41.803143,64.889992,63.578781,63.399925,57.9828,.27647236
444,19,13,16,54.458496,47.843353,56.976532,60.286331,48.241314,54.803143,43.889996,55.578781,46.399925,50.9828,.61777425
445,16,14,16,61.455357,54.156311,58.406136,60.356766,54.308014,56.8382,52.688766,62.049904,60.276081,61.757961,.53940058
447,18,,6,47.517006,33.687374,41.261105,43.165054,28.670517,39.582207,42.905636,42.424412,45.52766,48.182442,-1.4622593
448,16,12,12,33.455357,33.156311,34.406136,30.356766,26.308014,28.8382,32.688766,38.049904,41.276081,35.757961,-.82795733
450,19,12,12,50.458496,38.843353,44.976532,45.286331,51.241314,45.803143,46.889996,38.578781,48.399925,55.9828,.27647236
451,16,12,12,57.455357,43.156311,47.406136,36.356766,36.308014,38.8382,50.688766,38.049904,51.276081,59.757961,.069035307
452,16,12,,45.455357,39.156311,55.406136,57.356766,50.308014,62.8382,45.688766,54.049904,53.276081,45.757961,.19009225
454,19,12,12,52.458496,53.843353,54.976532,54.286331,48.241314,51.803143,48.889996,61.578781,48.399925,43.9828,-2.0017407
458,19,12,12,56.458496,62.843353,56.976532,54.286331,60.241314,57.803143,45.889996,55.578781,57.399925,39.9828,-.96982861
459,17,12,12,44,66,54,53,53,55,48,68,53,46,.12750903
460,19,12,10,48.458496,36.843353,49.976532,45.286331,57.241314,56.803143,48.889996,46.578781,40.399925,36.9828,.070089951
461,19,12,18,62.458496,63.843353,54.976532,57.286331,55.241314,41.803143,63.889996,61.578781,61.399925,62.9828,.24074088
465,17,12,12,56,65,55,53,53,55,39,68,53,49,1.4372665
469,16,16,12,41.455357,40.156311,45.406136,39.356766,49.308014,45.8382,56.688766,44.049904,49.276081,38.757961,.51753157
470,18,8,6,39.517006,39.687374,25.261103,37.165054,40.670517,24.582209,46.905636,37.424412,41.52766,31.182442,-1.2916085
472,18,12,12,43.517006,44.687374,42.261105,43.165054,50.670517,43.582207,40.905636,50.424412,36.52766,33.182442,-.57912916
474,19,12,12,42.458496,40.843353,41.976532,54.286331,40.241314,38.803143,43.889996,41.578781,38.399925,31.9828,-.89836562
475,16,12,12,39.455357,41.156311,36.406136,39.356766,53.308014,48.8382,36.688766,40.049904,32.276081,35.757961,-.74263185
477,17,8,12,40,50,29,44,38,42,51,44,44,53,-.30712479
479,17,12,12,54,51,55,62,50,49,57,46,59,51,-.68415815
484,19,12,10,44.458496,40.843353,36.976532,36.286331,42.241314,41.803143,45.889996,36.578781,38.399925,43.9828,-1.346862
488,17,15,14,50,46,52,47,43,47,58,54,63,51,-.35671878
489,19,12,18,50.458496,63.843353,51.976532,42.286331,53.241314,54.803143,48.889996,55.578781,50.399925,43.9828,.77456272
492,19,12,12,38.458496,51.843353,43.976532,51.286331,58.241314,53.803143,30.889996,56.578781,51.399925,34.9828,-.17202394
493,16,12,12,43.455357,60.156311,47.406136,48.356766,52.308014,54.8382,58.688766,68.049904,56.276081,47.757961,-.59970593
496,18,12,12,57.517006,63.687374,59.261105,58.165054,58.670517,48.582207,47.905636,57.424412,54.52766,59.182442,.53810835
499,19,10,11,40.458496,40.843353,48.976532,45.286331,53.241314,51.803143,41.889996,49.578781,48.399925,34.9828,-1.0194227
500,17,10,11,48,50,54,53,62,58,48,54,48,44,.57600534
501,17,12,12,64,53,61,62,47,47,51,44,55,53,-.029279411
503,19,10,10,42.458496,43.843353,43.976532,60.286331,50.241314,54.803143,45.889996,50.578781,51.399925,41.9828,-.086698458
507,19,14,,56.458496,51.843353,53.976532,54.286331,49.241314,50.803143,43.889996,52.578781,46.399925,57.9828,-1.396456
508,17,14,9,54,38,43,53,50,50,57,37,53,58,-.56310117
509,17,12,12,64,58,50,62,60,57,64,68,65,60,1.8857627
510,19,11,14,48.458496,53.843353,58.976532,57.286331,60.241314,62.803143,55.889996,52.578781,48.399925,65.982803,-.49946326
511,17,12,12,64,62,60,59,48,54,64,58,67,65,-1.3033054
513,19,11,6,46.458496,48.843353,44.976532,51.286331,50.241314,48.803143,34.889996,50.578781,36.399925,46.9828,.020495996
514,17,11,6,28,36,31,32,44,47,35,40,40,32,1.1455586
516,19,16,,26.458494,36.843353,27.97653,36.286331,22.241314,25.803144,32.889996,35.578781,31.399923,27.9828,-.72771466
517,18,11,,37.517006,34.687374,37.261105,25.165054,35.670517,37.582207,42.905636,37.424412,34.52766,33.182442,1.0223361
518,17,11,,24,38,26,41,30,40,33,40,37,34,-1.0611916
519,17,11,,32,38,25,26,26,32,28,35,29,32,-1.0115975
522,18,11,11,37.517006,34.687374,36.261105,34.165054,28.670517,47.582207,35.905636,37.424412,39.52766,29.182442,.36745739
523,17,11,11,38,42,39,41,37,40,48,38,37,37,-.11460488
524,19,,,50.458496,38.843353,47.976532,48.286331,59.241314,51.803143,55.889996,63.578781,59.399925,43.9828,.88433748
528,17,12,12,56,43,41,44,55,57,42,44,38,42,.12750903
534,17,11,,46,32,37,23,29,34,44,35,40,44,-.76948357
535,16,9,10,53.455357,41.156311,47.406136,48.356766,49.308014,42.8382,54.688766,38.049904,53.276081,57.757961,-.67116886
537,17,8,7,40,36,34,23,20,37,35,33,46,37,-.065010935
540,18,8,8,39.517006,41.687374,34.261105,40.165054,60.670517,45.582207,44.905636,36.424412,37.52766,43.182442,-.20209582
541,18,8,,39.517006,38.687374,38.261105,37.165054,47.670517,50.582207,29.905636,42.424412,41.52766,41.182442,-.081038892
546,16,9,16,35.455357,43.156311,43.406136,48.356766,43.308014,41.8382,45.688766,40.049904,47.276081,47.757961,-1.7745439
548,18,12,15,47.517006,54.687374,55.261105,52.165054,49.670517,49.582207,42.905636,51.424412,51.52766,52.182442,-.45807227
549,19,12,16,48.458496,44.843353,51.976532,42.286331,50.241314,47.803143,48.889996,47.578781,61.399925,55.9828,.36179787
553,19,12,16,62.458496,64.843353,58.976532,57.286331,60.241314,54.803143,52.889996,64.578781,51.399925,57.9828,-.57092625
554,17,12,16,54,59,54,59,53,46,51,65,48,39,-.35671878
558,18,12,15,53.517006,56.687374,55.261105,55.165054,60.670517,61.582207,38.905636,64.424408,49.52766,38.182442,1.1929871
562,18,12,13,47.517006,53.687374,53.261105,52.165054,54.670517,45.582207,46.905636,53.424412,45.52766,48.182442,.73062831
566,19,12,12,44.458496,38.843353,41.976532,45.286331,46.241314,38.803143,37.889996,36.578781,44.399925,31.9828,-1.1047481
567,17,12,12,42,55,48,41,50,29,35,58,44,44,.95303869
570,16,12,12,63.455357,67.156311,61.406136,60.356766,62.308014,67.838196,63.688766,66.049904,62.276081,66.757957,.033303782
571,16,12,16,47.455357,59.156311,56.406136,48.356766,49.308014,56.8382,47.688766,49.049904,56.276081,54.757961,.844971
573,19,14,16,42.458496,56.843353,49.976532,54.286331,52.241314,46.803143,36.889996,52.578781,46.399925,53.9828,-.41413781
574,17,12,12,50,40,48,53,58,50,40,40,37,30,1.1594211
576,19,12,16,58.458496,62.843353,57.976532,54.286331,60.241314,54.803143,39.889996,60.578781,57.399925,53.9828,.083952442
579,18,12,11,49.517006,61.687374,46.261105,58.165054,60.670517,58.582207,40.905636,50.424412,54.52766,38.182442,.040018082
585,17,12,12,42,39,43,44,51,27,44,46,37,46,-2.0296471
588,17,,,22,39,26,23,31,39,30,37,37,34,-1.9443216
591,17,12,16,52,61,56,62,47,54,53,66,37,63,.077915013
594,17,10,12,38,49,47,56,52,32,35,43,40,42,-.089460194
596,18,14,12,49.517006,50.687374,58.261105,55.165054,29.670517,39.582207,51.905636,47.424412,56.52766,57.182442,1.7625402
600,19,16,16,46.458496,62.843353,40.976532,42.286331,60.241314,57.803143,37.889996,64.578781,48.399925,46.9828,-.4498693
601,17,16,16,34,62,35,53,62,61,35,66,44,46,-1.2894429
604,18,12,12,43.517006,46.687374,53.261105,55.165054,60.670517,44.582207,46.905636,48.424412,45.52766,41.182442,-.10290787
605,17,11,12,56,53,50,50,38,57,53,52,59,56,-.23566183
606,16,11,14,61.455357,47.156311,57.406136,57.356766,51.308014,54.8382,43.688766,49.049904,60.276081,61.757961,-.087753162
609,19,14,16,42.458496,37.843353,53.976532,54.286331,46.241314,49.803143,37.889996,39.578781,44.399925,36.9828,-.17202394
610,17,16,16,44,46,43,38,38,34,35,43,42,49,-.39245027
613,18,16,12,47.517006,49.687374,42.261105,40.165054,38.670517,42.582207,56.905636,43.424412,47.52766,57.182442,-.47994122
616,17,9,9,42,38,26,32,20,25,35,41,38,32,-.15033635
617,18,10,,41.517006,39.687374,38.261105,43.165054,42.670517,43.582207,40.905636,42.424412,45.52766,33.182442,-1.1705514
623,19,16,,30.458494,34.843353,41.976532,36.286331,42.241314,29.803144,36.889996,35.578781,31.399923,27.9828,.20500939
628,16,10,,29.455357,40.156311,30.406136,27.356766,26.308014,28.8382,34.688766,33.049904,34.276081,40.757961,-.46478644
636,19,12,12,46.458496,34.843353,48.976532,54.286331,45.241314,52.803143,45.889996,39.578781,46.399925,50.9828,.63964325
